order_id,customer_id,product,category,quantity,price,order_date,status
1001,C001,Laptop,Electronics,1,999.99,2024-01-10,COMPLETED
1002,C002,Mouse,Electronics,2,25.50,2024-01-10,COMPLETED
1003,C003,Desk,Furniture,1,300.00,2024-01-11,CANCELLED
1004,C001,Keyboard,Electronics,1,75.00,2024-01-12,COMPLETED
1005,C004,Chair,Furniture,2,150.00,2024-01-12,COMPLETED
1006,C001,Mouse,Electronics,1,49.99,2024-01-12,INCOMPLETE
1007,C001,Desk,Furniture,1,12.99,2024-01-12,completed
1008,C002,Mouse,Electronics,1,12.99,2024-01-12,COMPLETED
1009,C005,Monitor,Electronics,1,199.99,2024-01-13,COMPLETED
1010,C006,Monitor Stand,Electronics,2,39.99,2024-01-13,COMPLETED
1011,C007,USB Cable,Electronics,3,9.99,2024-01-13,COMPLETED
1012,C008,Webcam,Electronics,1,89.99,2024-01-14,COMPLETED
1013,C009,Headset,Electronics,1,129.99,2024-01-14,COMPLETED
1014,C010,Desk Lamp,Furniture,2,45.00,2024-01-14,COMPLETED
1015,C011,Office Desk,Furniture,1,450.00,2024-01-15,COMPLETED
1016,C012,Office Chair,Furniture,1,320.00,2024-01-15,COMPLETED
1017,C013,Notebook,Stationery,5,3.99,2024-01-15,COMPLETED
1018,C014,Pen Set,Stationery,2,12.49,2024-01-15,COMPLETED
1019,X015,Mouse,Electronics,1,19.99,2024-01-16,COMPLETED
1020,C016,Mouse,Electronics,0,19.99,2024-01-16,COMPLETED
1021,C017,Keyboard,Electronics,1,-49.99,2024-01-16,COMPLETED--
1022,C018,Keyboard,Electronics,1,49.99,2024-01-16,SHIPPED
1023,C019,,Electronics,1,49.99,2024-01-16,COMPLETED
1024,C020,Mouse Pad,Electronics,2,14.99,2024-01-17,COMPLETED
1025,C021,Laptop Sleeve,Electronics,1,29.99,2024-01-17,COMPLETED
1026,C022,SSD,Electronics,1,149.99,2024-01-17,COMPLETED
1027,C023,External HDD,Electronics,1,99.99,2024-01-17,COMPLETED
1028,C024,Router,Electronics,1,179.99,2024-01-18,COMPLETED
1029,C025,Switch,Electronics,1,249.99,2024-01-18,COMPLETED
1030,C026,Coffee Table,Furniture,1,199.99,2024-01-18,COMPLETED
1031,C027,Sofa,Furniture,1,899.99,2024-01-18,COMPLETED
1032,C028,Bookshelf,Furniture,1,129.99,2024-01-19,COMPLETED
1033,C029,Rug,Furniture,1,89.99,2024-01-19,COMPLETED
1034,C030,Wall Clock,Furniture,1,49.99,2024-01-19,COMPLETED
1035,C031,Printer,Electronics,1,299.99,2024-01-20,COMPLETED
1036,C032,Ink Cartridge,Electronics,2,39.99,2024-01-20,COMPLETED
1037,C033,Scanner,Electronics,1,199.99,2024-01-20,COMPLETED
1038,C034,Paper Pack,Stationery,10,5.99,2024-01-20,COMPLETED
1039,C035,Whiteboard,Stationery,1,79.99,2024-01-21,COMPLETED
1040,C036,Marker Set,Stationery,3,12.99,2024-01-21,COMPLETED
1041,C037,Stapler,Stationery,1,9.99,2024-01-21,COMPLETED
1042,C038,Monitor Arm,Electronics,1,129.99,2024-01-21,COMPLETED
1043,C039,Laptop Stand,Electronics,1,59.99,2024-01-22,COMPLETED
1044,C040,Tablet,Electronics,1,499.99,2024-01-22,COMPLETED
1045,C041,Stylus,Electronics,1,79.99,2024-01-22,COMPLETED
1046,C042,Smartphone,Electronics,1,699.99,2024-01-22,COMPLETED
1047,C043,Phone Case,Electronics,2,19.99,2024-01-23,COMPLETED
1048,C044,Power Bank,Electronics,1,49.99,2024-01-23,COMPLETED
1049,C045,Charger,Electronics,1,29.99,2024-01-23,COMPLETED
1050,C046,HDMI Cable,Electronics,2,14.99,2024-01-23,COMPLETED
1051,C047,TV,Electronics,1,899.99,2024-01-24,COMPLETED
1052,C048,Soundbar,Electronics,1,299.99,2024-01-24,COMPLETED
1053,C049,Remote,Electronics,1,39.99,2024-01-24,COMPLETED
1054,C050,Game Console,Electronics,1,499.99,2024-01-24,COMPLETED
1055,C051,Game Controller,Electronics,2,69.99,2024-01-25,COMPLETED
1056,C052,VR Headset,Electronics,1,399.99,2024-01-25,COMPLETED
1057,C053,Desk Organizer,Stationery,1,24.99,2024-01-25,COMPLETED
1058,C054,Filing Cabinet,Furniture,1,259.99,2024-01-25,COMPLETED
1059,C055,Books,Furniture,3,19.99,2024-01-26,COMPLETED
1060,C056,Calendar,Stationery,1,9.99,2024-01-26,COMPLETED
